pA,pB,sila
EVAN,KAYLEIGH,25
EVAN,TOMMY,19
ANDREA,EVAN,15
EVAN,LENNY,14
KAYLEIGH,TOMMY,11
KAYLEIGH,LENNY,8
LENNY,TOMMY,8
ANDREA,DR. REDFIELD,8
EVAN,THUMPER,8
DR. REDFIELD,EVAN,6
EVAN,MR. MILLER,5
CARLOS,EVAN,4
EVAN,PROFESSOR CARTER,3
EVAN,HEIDI,3
EVAN,HUNTER,3
EVAN,JOURNAL ENTRY,3
ANDREA,MRS. BOSWELL,2
ANDREA,EVAN'S DIARY,2
EVAN,EVAN'S DIARY,2
KAYLEIGH,MR. MILLER,2
MR. MILLER,TOMMY,2
EVAN,JASON,2
ANDREA,TOMMY,2
ANDREA,KAYLEIGH,2
EVAN,MRS. KAGAN,2
ANSWERING MACHINE,EVAN,2
ANSWERING MACHINE,THUMPER,2
EVAN,SENIOR BROTHER,2
HUNTER,KAYLEIGH,2
HUNTER,SENIOR BROTHER,2
KAYLEIGH,SENIOR BROTHER,2
EVAN,KARL,2
ANDREA,MR. MILLER,1
ANDREA,JASON,1
KAYLEIGH,PRIEST,1
EVAN,TEEN PUNK,1
KAYLEIGH,TEEN PUNK,1
TEEN PUNK,TOMMY,1
KAYLEIGH,MRS. KAGAN,1
CRICKET,EVAN,1
CRICKET,THUMPER,1
EVAN,KRISTEN,1
EVAN,SPENCER,1
HEIDI,KRISTEN,1
HEIDI,SPENCER,1
HEIDI,THUMPER,1
KRISTEN,SPENCER,1
KRISTEN,THUMPER,1
SPENCER,THUMPER,1
EVAN,WHOOSH OF FLAMES,1
LENNY,WHOOSH OF FLAMES,1
TOMMY,WHOOSH OF FLAMES,1
LENNY,MRS. KAGAN,1
EVAN'S DIARY,THUMPER,1
KAYLEIGH,MRS. HALPERN,1
KAYLEIGH,SMOLDERING.,1
LENNY,MRS. HALPERN,1
LENNY,SMOLDERING.,1
MRS. HALPERN,SMOLDERING.,1
MRS. HALPERN,TOMMY,1
SMOLDERING.,TOMMY,1
ANDREA,REVEAL ANDREA,1
EVAN,REVEAL ANDREA,1
EVAN,GWEN,1
EVAN,WOMAN'S VOICE,1
GWEN,WOMAN'S VOICE,1
HUNTER,PROFESSOR CARTER,1
EVAN,THETA CHI PLEDGE,1
CARLOS,CONVICT,1
CARLOS,JOURNAL ENTRY,1
CONVICT,EVAN,1
CONVICT,JOURNAL ENTRY,1
EVAN,MRS. BOSWELL,1
EVAN,RICK,1
KARL,RICK,1
EVAN,ONLY BACKWARDS.,1
EVAN,SHUDDER.,1
JOURNAL ENTRY,SHUDDER.,1
EVAN,WAITRESS,1
COMING.,EVAN,1
COMING.,LENNY,1
COMING.,TOMMY,1
EVAN,WHEELCHAIR.,1
LENNY,WHEELCHAIR.,1
CROWD GATHERS.,EVAN,1
CROWD GATHERS.,KAYLEIGH,1
CROWD GATHERS.,LENNY,1
EVAN,ON EVAN,1
LENNY,ON EVAN,1
ANDREA,JOURNAL ENTRY,1
ANDREA,KAYLEIGH'S MOTHER,1
EVAN,KAYLEIGH'S MOTHER,1
KAYLEIGH,KAYLEIGH'S MOTHER,1
CLOSE ON,LENNY,1
